予算事業ID,府省庁,局・庁,事業の概要,当初予算,歳出予算現額,現状・課題,事業名,事業概要URL
1592,文部科学省,高等教育局,独立行政法人日本学生支援機構の貸与型奨学金事業は、教育政策として、学資を希望する家計の厳しい世帯の学生等（大学、短期大学、高等専門学校、大学院、専修学校専門課程）本人に、無担保、無審査（与信無）、無利子又は低利で奨学金を貸与し、かつ長期間にわたって、返還金の回収を行う。,101241471000.0,103754001000.0,令和5年度において、独立行政法人日本学生支援機構の貸与型奨学金事業の貸与人員は約111万人であり、貸与基準を満たす希望者全員に奨学金を貸与している。引き続き、貸与基準を満たす希望者全員への貸与を確実に実施する必要がある。,独立行政法人日本学生支援機構貸与型奨学金事業,
1611,文部科学省,科学技術・学術政策局,○オープンイノベーション機構の整備　／　以下の要素を持つオープンイノベーション機構の整備に関し、高い意欲と優れた構想を持つ大学等に対し、費用・リソース負担も含む大学側のコミットを条件として、5年間国費支援する。／①大学の経営トップによるリーダーシップの下で、プロフェッショナル人材（クリエイティブ・マネージャー）を集めた特別な集中的マネジメント体制の構築／②優れた研究者チームの部局を超えた組織化／　各大学のオープンイノベーション機構においては、億円単位の大型プロジェクトを年間少なくとも数件運営し、支援終了時には間接経費や特許実施料収入などを基にした、自立的経営を目指す。／○高校生等へのアントレプレナーシップ教育の拡大：EDGE-PRIME Initiative（令和4年度補正（第2号）限りの事業）／　スタートアップ創出の抜本的拡大に向けて、その基盤となる人材の量や多様性を増やすため、拠点都市を中心にアントレプレナーシップ教育の機会を、優れた理数系の才能を有するこどもを始め、将来設計の入り口である高校生等へ拡大する。,25147000.0,25147000.0,従来の産学連携は、研究者レベルの小規模・非競争領域（論文発表可）の活動といった大学と企業の研究開発部門の協力が中心。産業界では、従来の産学連携の拡大に加え、研究開発部門のみならず製造部門・事業部門も含めた各階層で大学との連携を行うニーズが顕在化。他方、大学をみると、こうした連携による大型共同研究では、①研究開発の企画、契約額設定、②企業との交渉、③利益相反処理、④進捗管理が複雑化しており、現状のマネジメント体制では対応が極めて困難となっており、企業の事業戦略に深く関わる（競争領域に重点）大型共同研究を集中的にマネジメントする体制の整備が課題となっている。／　また、経済成長や社会課題解決に向けて、イノベーションの担い手である大学等発スタートアップの活躍は必要不可欠であり、民間研究開発投資誘因等を含め、大学等から生まれる優れた研究成果の社会実装を強力に支援することが求められている。,イノベーションシステム整備事業,https://www.mext.go.jp/a_menu/kagaku/openinnovation/index.htm
1622,文部科学省,研究振興局,①学術研究に関する必要な助成、②若手研究者の養成・確保、③学術に関する国際交流の促進、④学術の応用に関する研究の実施、⑤学術の社会的連携・協力の推進、⑥国の助成事業に関する審査・評価、⑦学術の振興に関する調査及び研究等により、資金配分機関（ファンディングエージェンシー）として、大学等の研究者の自由な発想に基づく人文・社会科学から自然科学までのあらゆる分野の研究を総合的に支援するとともに、次世代の人材育成と大学の教育研究機能の向上に対する取組への支援などを行う。,27498267000.0,27498267000.0,我が国の研究現場では、論文の質・量ともに相対的・長期的な地位の低下や、若手をはじめとした研究者の環境改善が課題となっている。また、研究活動や国際的な研究交流についても、ポストコロナにおける在り方の変革が求められている。,独立行政法人日本学術振興会運営費交付金に必要な経費,https://www.mext.go.jp/content/20230324-mxt_gakjokik-100000119_2.pdf
1714,文部科学省,研究開発局,敦賀市において原子力に関する国際シンポジウムを開催し、各回のテーマに関連する様々な事例を国内・海外の講演者から紹介するとともに、地元住民が直接参加するサブイベントの実施により、原子力分野に関する国民理解を深める機会を提供している。また、シンポジウムの動画配信等により、シンポジウム非参加者の原子力分野に関する理解促進にも貢献する。,38840000.0,38840000.0,今後の原子力利用のためには、原子力研究開発の意義や原子力施設の安全対策等に対する国民理解を得る必要がある。／特に、平成28年度に高速増殖原型炉「もんじゅ」の廃止措置への移行が確定した際には、「もんじゅ」周辺地域を我が国の原子力研究や人材育成を支える基盤となる中核的拠点として位置づけており、当該地域を中心として、国民の多様なニーズを踏まえた上での原子力分野の知識・情報の普及を通じ、原子力分野への国民理解を促進することで、拠点化の足掛かりを作る必要がある。,核燃料サイクル関係推進調整等委託費,
1786,文化庁,,○文化芸術創造拠点形成事業／　地方公共団体における地域文化振興に係る機能強化を図るため、専門的人材を活用して実施する、地域アーティストの活動支援や地域住民やステークホルダーとの連携・協働の促進、地域文化資源を活用した文化芸術活動等の総合的な取組を支援する。／○アーティスト・イン・レジデンス型地域協働支援事業／　アーティストの創造力を活用した特色ある地域活性化を図るため、文化芸術団体等が国内外のアーティストを招へいして実施する、地域住民等と協働した創作や研究・調査、発信に係る地域滞在型の取組について支援する（R5は「アーティスト・イン・レジデンス活動支援を通じた国際文化交流促進事業」として実施し、R6より本事業に統合）。／○劇場・音楽堂等活性化・ネットワーク強化事業【令和5年度終了】／　「劇場、音楽堂等の活性化に関する法律」及び「劇場、音楽堂等の事業の活性化のための取組に関する指針」を踏まえ、我が国の劇場・音楽堂等が行う実演芸術の創造発信や専門的人材の養成、普及啓発事業等を総合的に支援することにより、我が国の劇場・音楽堂等の活性化と実演芸術の水準向上を図るとともに、地域コミュニティの創造と再生を推進し、地域の住民が質の高い芸術文化活動に触れられる環境を醸成する（R5で事業終了し、R6より別事業へ統合）。／○国際文化芸術発信拠点形成事業（先進的文化芸術創造活用拠点形成事業）【令和4年度終了】／　日本全国で開催されている芸術祭や地方の行事をコアとした文化芸術事業を充実・発展させ、民間企業を大胆に巻き込みつつ他分野との有機的な連携を図ることで世界にアピールできる我が国を代表する国際文化芸術発信拠点を形成する取組を支援する。,1102757000.0,1102757000.0,○各地域における特色ある主体的な取組を推進し、文化芸術による豊かな社会の実現を目指すためには、地方公共団体や文化芸術団体、アーティスト、地域住民等のステークホルダーが連携・協働して活力のある施策を展開することで、新たな文化芸術を創造する芽を育むソフト基盤を構築・強化していくことが重要。／○文化芸術活動の地域偏在解消のため、地方公共団体における地域文化振興に向けたさらなる機能強化やアーティストと地域住民等との協働活動に係る先進事例の蓄積と活用を相互に連携を図りながら総合的・戦略的に推進していくことが必要。,地域文化共創基盤の構築,https://www.chiikiglocal.go.jp/index.html
1823,文化庁,,史跡等に指定された地域内の土地等については、所在する遺跡等を保護するため、現状変更許可制度により規制がかけられている。国による買上げは、史跡等の保存のための土地利用制限に対し、財産権尊重のためにとられる補償的措置として行われるものであり、買上げを行うことにより、重要な遺跡として歴史的・学術的に貴重な価値を維持するばかりでなく、国民的文化遺産でもある宮跡等を保護するものである。買上げに当たっては、指定地内の土地所有者にアンケート調査等を実施し、地権者と協議に基づき必要な買上を実施するものである。,462890000.0,760786000.0,"平城宮跡の土地の買上については、明治３９年に結成された平城宮跡祉保存会の買収等の活動によって開始（大正１３年、保存会所有地を国に寄附）された。その後、昭和３７年、宮跡内での近鉄操車場建設計画が問題となった際、宮跡全体を国有地化する方針が決定され、翌年から国による買い上げ事業が開始された。／また、藤原宮跡及び飛鳥地区については、「飛鳥地方における歴史的風土及び文化財の保存等に関する施策について」（昭和４５年１２月１８日　閣議決定）によって国有地下の方針が決定された。／史跡指定地は全体で2,453,909㎡であり、令和５年度までに買上を行い国有地化された面積は、1,784,277㎡(72.7%)となっている。",平城及び飛鳥・藤原宮跡等の買上,
1900,環境省,大臣官房,意欲的な脱炭素の取組（下記１又は２）を行う地方公共団体等に対し複数年度にわたり継続的かつ包括的に支援する。／１．脱炭素先行地域づくり事業への支援／　2050年カーボンニュートラルを20年前倒しで実現を目指す脱炭素先行地域に選定された地方公共団体に対して、再エネ等設備の導入に加え、基盤インフラ設備や省CO2等設備の導入、これらと一体となってその効果を高めるために実施するソフト事業等を支援／２．重点対策加速化事業への支援／　再エネ発電設備を一定以上導入する地方公共団体に対して、地域共生再エネ等の導入や住宅の省エネ性能の向上などの重点対策の複合実施等を支援,36519631000.0,116687462000.0,2050年カーボンニュートラル及び2030年度46%削減目標の達成に向けて、第６次エネルギー基本計画（令和３年10月22日閣議決定）に基づき、電源構成で再生可能エネルギーの36-38%程度への増加が必要とされ、このうち、政策強化分として、地方公共団体主導による再エネ創出が求められた。そこで、地球温暖化対策推進法に基づく地方公共団体実行計画（事務事業編、区域施策編）の策定とともに、地域特性に応じて脱炭素事業に意欲的に取り組み、地域課題の解決にも資する取組を行う地方公共団体を集中的、重点的に支援するため、複数年度にわたって継続的かつ包括的に支援する財政制度として交付金を創設したところ。本交付金を通じたCO2削減や地域課題の解決とともに、波及効果として更なる地域脱炭素の促進が期待されている。,地域脱炭素移行・再エネ推進交付金,https://policies.env.go.jp/policy/roadmap/assets/grants/chiiki-datsutanso-kofukin-R6.pdf
2045,厚生労働省,医政局,①プログラム責任者講習会／歯科医師臨床研修のプログラム責任者を養成するために実施する講習会に必要な経費に対する補助（定額）を行う。／②臨床研修活性化推進特別事業／指導歯科医の資質向上を目的とし、指導歯科医講習会の講師の育成及び指導歯科医のフォローアップ研修を実施にかかる費用を補助（定額）を行う。,20279000.0,20279000.0,歯科医師臨床研修は、平成18年度から、従来の努力義務から必修化する形で導入された。／研修歯科医が臨床研修の到達目標を達成するためには、良質な研修プログラムと適切な指導体制の確保が重要,歯科医師臨床研修指導医講習会費,
2059,厚生労働省,医政局,以下の事業を通じて、医療機関におけるサイバーセキュリティ対策の強化を図る。／①　医療情報化人材育成事業／地域の医療機関に対し、情報化に関する助言・指導・計画の策定と実施を行うための人材を育成するため、「病院情報システムの構築方策」、「地域医療連携の確立方策」、「医療安全を考慮したシステム運用」、「システムのセキュリティとプライバシー保護」、「医療分野のＩＴ化のための目標を達成するための計画策定方策」等について研修を行っている。／②　医療分野におけるサイバーセキュリティ対策調査事業 医療機関のセキュリティ対策は、「医療情報システムの安全管理に関するガイドライン」に基づき、各医療機関が自主的に取組を進めてきているところである。昨今、国内の医療機関を標的としたランサムウェアによるサイバー攻撃被害が増加（ランサムウエアにより、長期にわたり診療が停止した複数の事例が発生）したことから、医療機関のサイバーセキュリティ対策の徹底を図る。／③医療機関におけるサイバーセキュリティ確保事業／医療機関におけるサイバーセキュリティの更なる確保のため、外部ネットワークとの接続の安全性の検証・検査や、オフライン・バックアップ体制の整備等を実施する。,100460000.0,5001070000.0,・病院などの保健医療に関わる組織・団体でデジタルトランスフォーメーション(DX)を推進することは保健医療行政において急務とされており、その実務を担当しリーダーとして活躍する人材が求められている。／・近年の医療機関を標的としたサイバー攻撃に対して、研修等を通じて平時からの対策徹底の周知や、実際に攻撃を受けた際の初動対応の支援が必要である。／・厚生労働省では医療機関に全ての外部接続ネットワーク接続点を確認することを求めているが、特に中・大規模病院は多数の部門システムで構成されているため、てのネットワーク接続を俯瞰的に把握することが重要である。／・サイバーセキュリティ事案が生じた際の速やかな復旧のためには、オフライン・バックアップが有効であり、医療機関においてオフライン・バックアップ環境を整備することが重要である。,医療情報セキュリティ等対策経費,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/kenkou_iryou/iryou/johoka/cyber-security.html
2064,厚生労働省,医政局,毎年11月25日を含む１週間に実施される医療安全推進週間の普及啓発を行う。,2695000.0,2695000.0,「患者の安全を守るための共同行動（PSA）」の一環として、平成13年度から11月25日（いい医療に向かってGO）を含む１週間を「医療安全推進週間」と位置づけている。当該事業では各厚生（支）局において医療従事者を対象としたワークショップ開催と国民への普及啓発のためのポスター作成を行っている。医療安全関連の講演会等を行うことで医療従事者だけでなく、国民へも医療安全への理解を深める活動を引き続き実施し医療安全への更なる意識の向上に努める必要がある。,患者安全推進（ＰＳＡ）事業,
2154,厚生労働省,健康・生活衛生局,①ハンセン病療養所退所者に対して、退所者給与金を支給。／②裁判上の和解が成立したハンセン病療養所非入所者に対して非入所者給与金を支給。／③ハンセン病療養所退所者給与金の受給者の遺族に対して支援金を支給。,2295147000.0,2295147000.0,ハンセン病問題の解決の促進に関する法律第１５条に基づき、ハンセン病療養所退所者給与金、ハンセン病療養所非入所者給与金及び特定配偶者等支援金を支給しているところであるが、受給者の高齢化に伴い、隔月ごとの申請手続を行うことが困難なケースも散見されるようになっている。そのため、受給者の請求手続をサポートする体制の強化が求められている。,退所者等対策経費,
2157,厚生労働省,健康・生活衛生局,①ハンセン病に関する討論会、ハンセン病講座の開催、地域啓発の促進、国立ハンセン病資料館の運営。／②ハンセン病療養所入所者の社会復帰者の支援。／③沖縄県におけるハンセン病の外来診療所への財政支援、社会復帰者への自立助長、ハンセン病に関する知識の啓発普及。／④ハンセン病問題に関する検証会議最終報告書の提言を検討し、その検討結果を活用するための施策の実施状況等の検討。,872554000.0,875955000.0,ハンセン病問題の解決の促進に関する法律に基づき、ハンセン病の患者であった者等の福祉の増進を図ることを基本とし、入所者対策、普及啓発対策、社会復帰支援対策等の施策を推進しているところであるが、特に、当時の体験などを後世に語りつなげることが重要な課題となっている。しかしながら、入所者や元患者の方々の高齢化により、貴重な証言を記録する時間は、わずかしか残されていない。同様に、高齢化により、社会生活に支障が出ている方々のための相談体制の強化が求められている。,ハンセン病対策事業委託費,
2224,厚生労働省,医薬局,①エイズ患者遺族等相談事業、ヤコブ病サポートネットワーク事業、ヤコブ病サポートネットワーク事業（補助率10/10）／　血液製剤によるHIV感染により家族を亡くした遺族等のための相談や相談員を対象とした研修を行う。ヒト乾燥硬膜の移植によりクロイツフェルト･ヤコブ病を発症し家族を亡くした遺族等のための相談や相談員を対象とした研修会等を行う。／②サリドマイド被害者生活支援等事業（補助率10/10）／医療･介護等に専門的な知識を有する相談員がサリドマイド被害者に対する訪問調査を行い、日常生活上の問題点へのアドバイスなどを実施する。,160696000.0,160696000.0,"令和3年度のエイズ患者遺族等及びヤコブ患者遺族等相談事業における相談件数は4,579件、サリドマイド被害者生活支援等事業における相談件数は3,553件であった。／被害者を看取ってきた遺族も高齢化や孤立化のため困難が増してきている。薬害による偏見を恐れて地域との関係を断ってきた多くの遺族は周囲に話しができる人もおらず、一人で悲しみを抱え孤立している人も少なくない。／そこで、多様な支援ニーズ等に応じたきめ細やかな対応ができる総合的な相談支援体制の整備に努めていく必要がある。",エイズ患者遺族等相談事業,
2262,厚生労働省,医政局,医療法第２５条第３項に基づく立入検査については、厚生労働大臣の承認を得た臨床研究中核病院の各施設に赴き、法令により定められている人員及び構造設備等を有し、適正な管理が行われているかを検査し、不適切な場合は指導等を通じ改善を図る。,802000.0,802000.0,令和６年４月時点で臨床研究中核病院は15施設となる（令和５年４月10日に１施設追加）,臨床研究実施体制確保対策費,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/tyukaku.html
2308,厚生労働省,保険局,高額な医薬品や医療機器について、それらの医療技術の効率性(費用対効果）について精緻に評価を行い、償還価格について検討を行う。また、中医協等に報告するための先行する欧米等の諸外国における費用対効果評価の現状等の調査や、費用対効果評価の専門的知識や技術を有する人材が国立保健医療科学院のみならず、製造販売業者やアカデミア等においても不足していることを鑑みて、費用対効果評価制度の発展に貢献しうる専門人材育成の取り組みを行う。,967632000.0,967632000.0,我が国においては、諸外国と比べて費用対効果評価の導入が遅れたため、費用対効果評価で使用するための疫学データ、費用やQOLデータの蓄積が不十分である。我が国の現状や国民性を反映させた費用対効果評価を実施するためには、それらのデータの収集･蓄積が課題となっている。,医療技術の費用対効果を評価するために必要な経費,
